text,category,price
Necklaces2 necklaces in. For sister,Women/Jewelry/Necklaces,12.0
"LuLaRoe BNWT, TC Ducks,Black,FREE Ship Brand is Independent.  Shipping. Black background TC Duck leggings. BNWT, never worn.","Women/Athletic Apparel/Pants, Tights, Leggings",45.0
Scribblenauts Unmasked for 3DS Shipping. Fast N' Free Shipping,Electronics/Video Games & Consoles/Games,10.0
"Coach CHELSEA Brand is Coach. Black Brushed Nickel Hardware 2 Exterior Slip Pockets on End Panels Top Zippered Closure with leather pull tab Interior Ring for Keys (2) Interior Slip Pockets (1) Interior Zippered Pocket Coach Hang Tag Approx Measurements: Length = 14"" Height = 9"" Depth = 5"" Shoulder Strap or Handle Drop = 11 (double handles) some discoloration Comes from smoke free home",Women/Women's Handbags/Totes & Shoppers,45.0
"Kimchi Blue Long Sleeve Floral Blouse Brand is Urban Outfitters. Rayon blouse from Urban Outfitters. Black with multicolor floral print. Slightly cropped fit and buttons on the upper back. Worn once, in perfect condition.",Women/Tops & Blouses/Blouse,18.0
Kiehls deluxe samples lot Brand is Kiehl's. New never used . Price firm Kiehls ultimate man body scrub soap 3.2 oz Kiehls creme de corps rich nourishing cream 1 FL oz Kiehls facial fuel energizing face wash 1 FL oz Kiehl's hydro plumping re-texturizing serum concentrate 0.17 FL oz Great for traveling. The perfect trial size as well Selling as is. Please ask all questions prior to purchase,Beauty/Skin Care/Face,16.0
Perfectly Poshe Skin Stick Shipping. The Glam Girl mega-glitter skin stick with shea butter.,Beauty/Skin Care/Body,15.0
Sterling Silver Turquoise Ring Shipping. Artist unknown. Beautiful turquoise stone sz9,Women/Jewelry/Rings,60.0
3 pack variety bathbombs Shipping. You will receive a variety pack of half sphere bath bombs! These bathbombs are pretty and smell delicious! They will change your bath water fun colors & are great for kids! Each order will be different and contain random colors! *please note that these are half sphere bath bombs! You can choose how many you want! 3 for [rm] 5 for [rm] 7 for [rm] Just comment how many you would like :) Wicca Wiccan love food water crystals rocks sale vday Easter soap soaps BATHBOMB bathbombs bath bomb new Galaxy bath bombs witch baby Halloween Xmas Christmas,Beauty/Bath & Body/Bath,10.0
White Earbuds Shipping. New 3.5mm Built in mic,"Electronics/TV, Audio & Surveillance/Headphones",3.0
Colourpop Trap Shipping. Ultra Matte lipstick,Beauty/Makeup/Lips,7.0
