F	CDF
1	1
2	0,280361757105943
3	0,142764857881137
4	0,0878552971576228
5	0,0691214470284238
6	0,0523255813953488
7	0,0426356589147287
8	0,0361757105943152
9	0,0310077519379845
10	0,0258397932816537
11	0,0232558139534884
12	0,0200258397932817
13	0,018733850129199
14	0,0174418604651163
19	0,0155038759689923
21	0,0135658914728682
23	0,0109819121447028
24	0,0103359173126615
26	0,00968992248062015
28	0,00904392764857881
31	0,00839793281653747
36	0,00710594315245478
40	0,00645994832041344
42	0,00581395348837209
43	0,00516795865633075
46	0,00452196382428941
49	0,00387596899224806
54	0,00322997416020672
57	0,00258397932816537
69	0,00193798449612403
71	0,00129198966408269
77	0,000645994832041344
