L	V	dV
1000	411,382352941176	27,7616056344883
2000	674,636363636364	42,1000382795613
3000	894,96875	49,1988848800204
4000	1088,96774193548	54,2071795452965
5000	1265,06666666667	54,5636834859564
6000	1429,86206896552	54,5727759196987
7000	1583,67857142857	60,2323202106584
8000	1729,37037037037	61,3744718001851
9000	1867,34615384615	65,611292594923
10000	1997,28	67,0942739732699
11000	2121,54166666667	69,5221662293613
12000	2240,91304347826	69,2129122431036
13000	2357,22727272727	68,3725967290454
14000	2470,14285714286	65,2601283613592
15000	2577,15	65,1224039789633
16000	2679,21052631579	64,4381212338083
17000	2778,94444444444	65,6746799021297
18000	2877,88235294118	67,4439918860227
19000	2975,25	72,4158994972789
20000	3070,26666666667	75,8318021823446
21000	3161,07142857143	78,6560907510995
22000	3247,15384615385	72,4535354064971
23000	3333	68,644009206922
24000	3420,09090909091	59,281231960983
25000	3504,1	54,8770443810715
26000	3587,44444444444	59,0820730681153
27000	3667,25	61,2877434729
28000	3749,42857142857	59,5263618500371
29000	3829,16666666667	67,4720106579304
30000	3912,4	61,4315879657851
31000	4001	53,3479146733966
32000	4081,33333333333	42,2400547137448
33000	4159,5	38,5
34000	4253	0
