L	V	dV
1000	397.958333333333	43.1687378846725
2000	657.434782608696	64.1518755610174
3000	880.318181818182	85.6389813342433
4000	1082.85714285714	96.8013605346561
5000	1268.9	107.691643129817
6000	1434.73684210526	122.724270368156
7000	1584.61111111111	137.927170350834
8000	1719	157.310483551777
9000	1842.1875	167.011309029509
10000	1966.66666666667	171.919619460826
11000	2091	176.817500749864
12000	2209.92307692308	189.964151087052
13000	2319.5	203.524159090102
14000	2418.45454545455	214.102508853866
15000	2513.2	209.503603787622
16000	2616.55555555556	197.546119009717
17000	2725.5	192.188709345789
18000	2819.28571428571	202.983964381225
19000	2914	206.742190501441
20000	3002.6	185.028214064773
21000	3104.75	113.739559960464
22000	3214.33333333333	32.4276973520472
23000	3286.5	29.5
24000	3399	0
