Word Ngram Statistic for 1-grams


RANK	NGramm	F
1	the	1429
2	to	984
3	you	884
4	and	798
5	i	699
6	a	698
7	of	693
8	in	407
9	he	400
10	is	396
11	valentine	389
12	with	388
13	that	333
14	his	325
15	it	324
16	her	322
17	clandon	315
18	gloria	300
19	mrs	282
20	crampton	281
21	dolly	279
22	at	273
23	on	257
24	my	252
25	me	252
26	him	248
27	sir	248
28	not	238
29	for	220
30	have	217
31	as	209
32	your	198
33	she	188
34	mccomas	175
35	what	172
36	no	170
37	mr	169
38	are	169
39	be	168
40	philip	168
41	waiter	165
42	but	159
43	all	147
44	do	132
45	this	130
46	oh	126
47	if	126
48	down	120
49	we	115
50	very	112
51	dont	108
52	yes	106
53	from	105
54	by	105
55	will	100
56	one	99
57	has	98
58	them	98
59	an	97
60	up	96
61	was	93
62	well	93
63	out	91
64	bohun	90
65	so	89
66	table	86
67	us	82
68	its	82
69	think	81
70	they	78
71	like	77
72	who	76
73	young	75
74	father	75
75	am	75
76	know	73
77	now	71
78	miss	70
79	come	68
80	man	67
81	im	67
82	never	67
83	right	66
84	here	66
85	can	64
86	into	62
87	chair	62
88	goes	61
89	about	60
90	say	59
91	were	59
92	mother	58
93	back	57
94	had	56
95	away	55
96	again	54
97	been	54
98	only	53
99	go	53
100	tell	52
101	thank	52
102	phil	52
103	when	51
104	old	51
105	there	51
106	himself	50
107	how	49
108	let	48
109	would	48
110	look	47
111	dear	47
112	sits	47
113	which	47
114	or	46
115	did	46
116	little	46
117	maam	46
118	takes	46
119	want	45
120	children	45
121	looking	45
122	good	45
123	looks	44
124	turns	44
125	see	44
126	then	44
127	lady	43
128	way	43
129	just	43
130	gentleman	42
131	take	42
132	thats	42
133	quite	41
134	any	40
135	our	39
136	over	39
137	window	39
138	after	39
139	comes	38
140	too	37
141	rising	37
142	moment	36
143	shall	36
144	own	36
145	name	36
146	finch	36
147	their	36
148	hotel	35
149	before	35
150	room	34
151	more	34
152	must	34
153	why	33
154	mean	33
155	nothing	33
156	some	33
157	william	33
158	going	32
159	first	31
160	get	31
161	cant	30
162	much	30
163	youre	30
164	door	30
165	another	30
166	ive	29
167	give	29
168	indeed	29
169	between	29
170	coming	29
171	off	29
172	make	28
173	better	28
174	dentist	28
175	side	28
176	other	28
177	two	28
178	than	28
179	love	28
180	excuse	28
181	anything	28
182	mind	27
183	hand	27
184	thing	27
185	five	27
186	put	27
187	really	27
188	family	27
189	may	27
190	such	27
191	people	26
192	most	26
193	should	24
194	ill	24
195	lunch	24
196	steps	24
197	time	24
198	end	24
199	round	23
200	head	23
201	does	23
202	myself	23
203	hands	23
204	being	23
205	made	22
206	herself	22
207	taking	22
208	face	22
209	through	22
210	left	22
211	ask	22
212	wont	21
213	voice	21
214	because	21
215	garden	21
216	hope	21
217	woman	21
218	turning	21
219	makes	21
220	sure	20
221	yet	20
222	without	20
223	arm	20
224	suddenly	20
225	thought	20
226	against	20
227	course	20
228	enough	19
229	hes	19
230	believe	19
231	daughter	19
232	sit	19
233	where	19
234	speak	19
235	done	19
236	perhaps	18
237	things	18
238	maid	18
239	gone	18
240	eyes	18
241	always	18
242	please	18
243	long	18
244	suppose	18
245	beside	18
246	said	18
247	care	18
248	hat	18
249	ever	17
250	understand	17
251	something	17
252	coat	17
253	parlor	17
254	great	17
255	rises	17
256	sorry	17
257	stands	17
258	call	17
259	century	16
260	yourself	16
261	years	16
262	half	16
263	married	16
264	rather	16
265	beg	16
266	child	16
267	behind	16
268	seat	16
269	pardon	16
270	even	16
271	afraid	15
272	heart	15
273	life	15
274	having	15
275	business	15
276	allow	15
277	keep	15
278	youll	15
279	false	15
280	point	15
281	manners	15
282	tea	14
283	shillings	14
284	england	14
285	same	14
286	nose	14
287	best	14
288	doubt	14
289	feel	14
290	could	14
291	didnt	14
292	matter	14
293	seen	14
294	word	14
295	those	14
296	ottoman	14
297	might	14
298	stop	14
299	these	14
300	puts	14
301	meet	14
302	twentieth	14
303	remember	13
304	whats	13
305	bring	13
306	interrupting	13
307	character	13
308	certainly	13
309	nature	13
310	question	13
311	pray	13
312	next	13
313	sh	13
314	er	13
315	last	13
316	bows	13
317	wait	13
318	havent	13
319	towards	13
320	e	13
321	sort	13
322	once	13
323	six	13
324	kind	13
325	beach	12
326	stops	12
327	aside	12
328	human	12
329	use	12
330	glass	12
331	mouth	12
332	air	12
333	new	12
334	age	12
335	theres	12
336	find	12
337	nods	12
338	places	12
339	isnt	12
340	making	12
341	luncheon	12
342	cup	12
343	manner	12
344	women	12
345	dress	12
346	alone	12
347	middle	11
348	case	11
349	past	11
350	arms	11
