Literal Ngram Statistic for 2-grams


RANK	NGramm	F
1	th	165
2	an	139
3	er	136
4	he	133
5	ou	109
6	nd	96
7	re	91
8	ri	86
9	in	86
10	ll	85
11	on	81
12	il	70
13	to	70
14	or	69
15	me	68
16	ur	67
17	en	65
18	we	63
19	es	62
20	at	61
21	ic	58
22	am	57
23	wi	56
24	st	55
25	ca	55
26	al	55
27	le	53
28	is	53
29	ve	52
30	it	52
31	ea	51
32	te	51
33	of	50
34	ar	50
35	ng	46
36	ro	46
37	ne	46
38	nt	45
39	ed	42
40	ti	41
41	tr	40
42	hi	38
43	de	37
44	io	36
45	ha	35
46	li	34
47	ot	33
48	be	33
49	fo	32
50	yo	32
51	ns	31
52	om	28
53	ry	28
54	no	28
55	co	27
56	un	26
57	pe	25
58	ce	25
59	ev	25
60	ut	24
61	lo	24
62	as	24
63	ac	24
64	ow	23
65	ta	23
66	us	22
67	se	22
68	rs	22
69	pr	22
70	ra	22
71	ma	22
72	ie	22
73	ir	22
74	ai	22
75	ig	21
76	mi	20
77	ch	20
78	ge	19
79	bu	19
80	wh	19
81	na	18
82	od	18
83	rt	18
84	ct	17
85	ec	17
86	pl	17
87	gh	17
88	ay	16
89	ss	16
90	sh	16
91	ei	16
92	go	16
93	ld	16
94	ts	16
95	di	16
96	et	16
97	ag	16
98	fr	16
99	op	16
100	ol	15
101	ef	15
102	ni	15
103	el	15
104	ho	15
105	wo	14
106	la	14
107	si	14
108	em	14
109	wa	14
110	ci	14
111	id	14
112	pa	13
113	fi	13
114	oo	13
115	fa	13
116	ga	13
117	ly	13
118	ty	13
119	ht	13
120	sa	12
121	eo	12
122	fe	12
123	po	12
124	os	12
125	ov	12
126	ee	12
127	ad	12
128	br	12
129	bl	12
130	ds	12
131	do	11
132	ke	11
133	ba	11
134	gr	11
135	ny	11
136	bo	10
137	mo	10
138	rd	10
139	mp	10
140	ob	10
141	iv	10
142	da	10
143	dr	10
144	ul	9
145	vi	9
146	sp	9
147	ck	9
148	cr	9
149	ru	8
150	ak	8
151	ia	8
152	ew	8
153	rn	8
154	iz	8
155	ze	7
156	rl	7
157	ms	7
158	eb	7
159	fu	7
160	uc	7
161	av	7
162	jo	7
163	ys	7
164	lt	7
165	so	7
166	im	7
167	ap	6
168	by	6
169	if	6
170	bs	6
171	nn	6
172	rr	6
173	ab	6
174	nf	6
175	tt	6
176	ep	6
177	ey	5
178	ui	5
179	og	5
180	gn	5
181	rg	5
182	nl	5
183	ff	5
184	gi	5
185	su	5
186	ug	5
187	du	5
188	oi	5
189	nk	5
190	ls	5
191	bi	4
192	oc	4
193	mb	4
194	tu	4
195	ft	4
196	mu	4
197	ip	4
198	ex	4
199	ps	4
200	gt	4
201	sm	4
202	pi	4
203	oy	4
204	wn	4
205	sc	4
206	tl	4
207	nc	4
208	gs	4
209	cl	3
210	dy	3
211	um	3
212	pu	3
213	rk	3
214	fl	3
215	au	3
216	gl	3
217	nm	3
218	iu	3
219	ju	3
220	rm	3
221	hr	3
222	ik	3
223	pt	3
224	oa	3
225	lw	3
226	ud	3
227	pp	3
228	sf	3
229	ye	3
230	af	3
231	cc	3
232	ib	2
233	ya	2
234	rw	2
235	up	2
236	ki	2
237	ok	2
238	ph	2
239	aw	2
240	my	2
241	gg	2
242	xi	2
243	tc	2
244	ub	2
245	nr	2
246	lf	2
247	dg	2
248	lu	2
249	rc	2
250	ek	2
251	eg	2
252	sk	2
253	wl	2
254	hs	2
255	lk	2
256	xa	1
257	lv	1
258	ky	1
259	hy	1
260	rf	1
261	hm	1
262	tw	1
263	sd	1
264	mm	1
265	hw	1
266	bb	1
267	rp	1
268	dc	1
269	va	1
270	nj	1
271	nu	1
272	ej	1
273	cs	1
274	sl	1
275	ja	1
276	gu	1
277	dn	1
278	lm	1
279	hb	1
280	vo	1
281	ax	1
282	dm	1
283	xe	1
284	xp	1
285	kn	1
286	hu	1
287	dd	1
288	eh	1
289	dl	1
290	zo	1
291	sr	1
292	nv	1
293	rv	1
294	ua	1
295	ue	1
296	yt	1
297	rh	1
298	rb	1
299	sy	1
300	sw	1
301	hn	1
302	ka	1
303	yi	1
304	uy	1
