F	PDF
1	0,439814814814815
2	0,199074074074074
3	0,110185185185185
4	0,0574074074074074
5	0,0472222222222222
6	0,0342592592592593
7	0,0231481481481481
8	0,0157407407407407
9	0,0101851851851852
10	0,00740740740740741
11	0,00555555555555556
12	0,0111111111111111
13	0,00462962962962963
14	0,00648148148148148
15	0,00185185185185185
16	0,00185185185185185
17	0,00277777777777778
19	0,00185185185185185
20	0,000925925925925926
21	0,000925925925925926
23	0,000925925925925926
25	0,00185185185185185
26	0,000925925925925926
27	0,000925925925925926
30	0,000925925925925926
31	0,00277777777777778
36	0,000925925925925926
37	0,000925925925925926
38	0,00185185185185185
43	0,00185185185185185
50	0,000925925925925926
63	0,000925925925925926
84	0,000925925925925926
113	0,000925925925925926
