player,country,rating_2
A1pha,United States,0.65
Aapestt,Mongolia,0.88
Aaron,Hungary,1.04
Aapestt,Mongolia,0.88
abdi,Sweden,0.75
Abiijxk,Uruguay,0.67
abizz,Argentina,0.95
ABM,Argentina,0.96
abp,Canada,1.06
abr,Brazil,1.04
absolute,United States,0.81
Abyss,Wales,0.76
AccuracyTG,Mongolia,1.07
Ace,India,1.05
AcilioN,Denmark,0.94
acoR,Denmark,1.06
ad0rfin,Kyrgyzstan,1.01
adai,Kazakhstan,1.06
Adam9130,United Kingdom,0.98
adamb,Sweden,1.09
adamS,Romania,1.07
Adams0n,Kazakhstan,1.2
ADEJIS,Slovakia,0.87
adeX,Romania,1.11
ADHD,Iceland,0.8
ADK,Canada,0.93
AdreN,Kazakhstan,0.98
AdrieN,Poland,0.88
ADRON,Romania,1.03
advent,China,0.85
AE,China,1.09
aelor,United States,0.77
Affava,Norway,1.03
Ag1l,Portugal,1.01
agoz,Sweden,1.01
agR,Brazil,0.95
aidKiT,North Macedonia,1.05
Aidy,Spain,0.78
aiM,United Kingdom,0.99
b0RUP,Denmark,1.0
B1NGO,China,0.98
b1t,Ukraine,1.12
b4rtiN,Brazil,1.08
Babs,Brazil,1.15
BabyRage,Peru,0.84
bacc,Brazil,1.04
BaGyZ,Lithuania,1.03
Bajify,Mongolia,0.25
bALAGE,Hungary,1.15
baljs,Poland,1.0
BallongIgor,Sweden,1.07
bam,South Africa,0.97
Bambosh,Poland,1.02
BaN4na,Hong Kong,0.93
Bankey21,United States,0.83
Bart4k,Mongolia,0.96
baz,Ukraine,1.01
bb1,India,1.33
Beast,France,0.8
beastik,Czech Republic,0.99
Beastman,United States,1.05
BEASTOFEAST,Uzbekistan,0.93
bebest,China,0.86
Beccie,Denmark,1.02
becker,United States,0.72
beeb,Australia,0.58
beg0d,Brazil,1.01
BehinDx,Denmark,1.04
beiji,China,0.74
BeiranZz,Portugal,0.75
ben1337,United States,0.95
Benzene,India,0.89
C0FFE3,United States,0.61
c0ldhurt,Lithuania,0.95
Cabbi,Denmark,1.07
cadiaN,Denmark,1.04
caike,Brazil,0.94
CAJUN,United States,0.96
calamity,Canada,1.01
Calix,Vietnam,0.99
CANNIBAL,United States,0.57
Cara de Banana,Brazil,0.8
card,Brazil,1.06
cass1n,Brazil,1.14
Catastr0phE,India,0.99
catf1sh,Germany,0.84
cbass,Uruguay,0.97
CEKKA,Uzbekistan,0.94
Celelo,Argentina,0.83
Cellax,Brazil,0.98
CendiarY,Hungary,0.85
cerolzin,Brazil,1.02
CeRq,Bulgaria,1.12
ch1rs,Ukraine,0.98
Cham,Sweden,0.92
ChAmP,India,1.0
CHarisma,Kazakhstan,1.07
D0cC,Netherlands,1.14
d1aszz,Kazakhstan,0.79
D1sastrouS,Kazakhstan,0.83
D7,Portugal,1.11
d9zz,Poland,1.15
Dabbehhh,Iceland,0.8
daddy,Thailand,0.96
Dafra1D,Ukraine,0.79
dako,Kazakhstan,1.04
damyo,Australia,1.08
Dan7,Romania,0.89
Danejoris,United States,1.01
dangeR,Australia,1.04
DanielS,Uruguay,0.69
danoco,Brazil,1.04
danss,Latvia,0.95
DANVIET,Brazil,1.02
daps,Canada,0.88
daria,Ukraine,0.94
dark,Uzbekistan,0.91
Darkas,Lithuania,1.1
darknesszz-,Ukraine,1.1
darko,Poland,1.01
e1543,Romania,1.01
Ed1m,Romania,0.87
Edbooo,China,0.89
EddezeNNN,Iceland,1.09
edox,Germany,0.92
edv,Brazil,0.99
eepy rain,United States,0.63
Efire,Mongolia,1.02
eku,Estonia,1.02
ElayDzha,Kazakhstan,1.55
elementx,India,0.52
elennz,Brazil,0.71
EliGE,United States,1.08
Elk,United States,0.96
Ellie,United States,1.07
Ellis,United States,0.92
Emerald,France,1.0
emi,Serbia,0.92
EmiliaQAQ,China,1.03
EmilS,Sweden,1.05
EMIYA,United States,1.04
Emma,Finland,0.71
emothug,Ukraine,0.87
empathy,United States,1.26
Empera,Lebanon,1.09
f0cus,United Kingdom,0.98
f0ll0wW,Belarus,1.24
f0ppa,Sweden,1.0
F0R3VER,Kazakhstan,0.72
f1redup,India,1.09
F4QQ,Argentina,0.7
f4stzin,Brazil,1.03
fa1th,Denmark,1.0
facemann,Albania,0.48
fajkus,Serbia,0.79
Falk,Denmark,0.94
Faller,Egypt,1.0
Falling,Poland,0.97
FAME,Canada,0.92
fanatyk,Poland,0.93
farmaG,Austria,0.9
febreeze,United States,1.01
feNcy,Finland,0.75
FenomeN,Belarus,1.12
fer,Brazil,1.08
ferg,Australia,0.79
ferzy,Brazil,1.05
Few,Denmark,0.87
fiction,Azerbaijan,0.87
g0op,Denmark,0.98
GaBi,Brazil,1.13
Gabie,Canada,0.91
gaijin,United States,0.76
GAME,Sweden,1.04
Ganginho,Ukraine,1.14
Gank88,United States,0.95
gejmzilla,Kosovo,0.9
gemini,United States,0.63
GEOHYPE,Romania,0.95
gfi,Malaysia,1.06
Gh0st2k2,Vietnam,0.71
Gh0sTTTT,India,1.07
Gina,Netherlands,0.84
Gizmy,United Kingdom,1.02
gla1ve,Denmark,0.97
glorinsz,Canada,1.04
Glymir,France,0.78
Go0dby3,United States,0.82
goddess,Brazil,0.98
Golden,Sweden,0.94
gon,Argentina,0.96
gone,United States,0.99
Goofy,Poland,1.07
h0kz,Turkey,0.93
H0NeST,Ukraine,0.82
H1kari,Latvia,0.7
h4rn,Bulgaria,1.15
hades,Poland,1.12
hAdji,France,1.06
Halen,Canada,0.92
hallzerk,Norway,1.09
hang4u,Mongolia,0.95
Hanka,Poland,1.16
happ,Brazil,1.02
HappyKai,China,1.41
harbor,Australia,0.7
hardzao,Brazil,1.09
Harley,India,0.58
Hartty,Thailand,0.66
Hassie,Australia,0.97
hasteka,Mongolia,0.96
hattygOD,India,0.96
Hatz,Australia,1.13
Havoc,Australia,1.08
havoK,India,1.1
hawachi,Uzbekistan,1.02
haze,South Africa,0.86
hazr,Australia,1.13
hazza,Bulgaria,0.68
hdstr,Portugal,0.98
headtr1ck,Ukraine,1.15
HEAP,Sweden,1.05
heartjess,South Africa,1.33
heaveN,Romania,1.02
Icarus,Portugal,0.97
ice,Kazakhstan,1.02
ICY,Kazakhstan,1.15
icyvl0ne,Uzbekistan,1.17
iDk,Brazil,1.06
ifan,Poland,0.94
iFRAGEZ,India,1.0
ilonda,Netherlands,0.87
iLuu,Australia,0.59
ILYV1CH,Belarus,1.29
IMAGINE,Mongolia,0.98
imd,Poland,0.7
iMoon,Iran,0.7
imoRR,Turkey,1.1
Infinite,United States,1.14
InfrequeNt,Australia,1.07
injury,United States,0.88
innocent,Poland,0.99
insan1ty,Brazil,1.07
Inseaniac,Canada,1.11
insmutje,Pakistan,1.15
intra,United States,0.95
Inzane,Indonesia,0.84
irbitka,Azerbaijan,0.91
Iron,India,0.94
isaac,United Kingdom,0.93
Ismo,Denmark,0.95
ivz,Argentina,0.99
Izik,United States,0.99
IZR,Mongolia,0.86
J0LZ,Canada,1.07
jabbi,Denmark,1.04
Jachro,United States,0.75
Jackinho,Sweden,1.03
JACKZ,France,0.98
Jakras,Poland,0.7
jambo,Ukraine,1.19
Jammie,Kyrgyzstan,0.98
JamYoung,China,1.19
Janewka,Kazakhstan,1.01
japE,Finland,1.04
Jardani,Venezuela,1.03
jason,United States,1.04
JAUSTERE,United Kingdom,0.99
Jayy2s,Portugal,0.75
Jazzyk1ns,Canada,1.17
JBOEN,Denmark,0.99
jcg,Australia,0.92
jchancE,United States,1.06
jcobbb,Poland,1.1
jcr,United States,0.82
JDC,Germany,1.06
JDubs,United States,1.08
Jelly,Brazil,1.9
jenkon,Sweden,0.97
Jerppa,Finland,0.9
Jersey,United States,0.89
k0nfig,Denmark,1.07
k1,Sweden,0.98
k1slll,Belarus,1.07
k4Mi,China,0.91
K4mr0,United States,1.01
kaavio,Finland,0.82
kabal,Mongolia,1.07
kade0,Kazakhstan,0.97
kadziu,Poland,0.99
kakura7,Sweden,0.84
kAlash,Kazakhstan,1.02
KalubeR,Bulgaria,1.06
Kamui,Mongolia,0.75
kanii,South Africa,1.04
karl,China,0.88
karlisabc,Latvia,0.91
karmazynsz,Germany,0.48
KARMY,China,0.98
karrigan,Denmark,0.9
kas,Ireland,0.7
Kat,Slovakia,1.14
Katalic,Bosnia and Herzegovina,1.01
katalyyst,United States,0.97
L0ngBarrel,India,1.01
L1haNg,China,1.07
